filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
001.wav,0.293682575,0.089111716,1767.391188,1796.316508,3337.911508,0.109026442,-158.8653107,119.8840637,-34.78178024,35.45355606,-0.471109986,13.61273575,-13.08744717,-2.13043642,-5.9434762,1.290022135,-4.343043804,8.766954422,-2.563502789,2.666115046,-6.926175594,-1.820858955,-3.112479448,-0.409020901,-0.633484721,-3.911717892
002.wav,0.34549436,0.059100147,951.0317525,1262.888093,1744.997418,0.050184746,-272.8207092,179.0838318,-2.032682896,34.02402496,-5.69873476,-4.446648121,-6.850418091,-3.071392536,-6.327946186,-4.911417007,-10.75847912,-1.008948684,-2.981469393,-4.573045254,-1.53276372,0.767514467,-0.841975451,-0.545774579,-4.074145794,-4.539794922
003.wav,0.282161891,0.082614176,1017.52193,1235.523341,1883.629745,0.054158885,-237.1021576,177.4769287,-22.59550476,29.80003357,3.149655342,-0.196095571,-1.22970283,-3.131267071,-1.180362225,1.244644523,-2.955443382,0.452438533,-2.393634319,-3.224524021,-0.161924213,1.955480576,-1.834293962,-3.403426647,-3.191565037,-2.37383008
004.wav,0.337852955,0.069328658,1916.953434,1931.569672,3674.083908,0.109481833,-161.7498322,112.2053299,-34.40170288,14.56139755,-17.82312393,-1.690713167,-15.70361805,-5.864926338,-12.08215141,1.986459136,-6.514546871,3.453017473,-7.514576435,-5.407949924,-9.155155182,1.213468909,-3.501598835,8.029010773,3.449316263,0.321429193
005.wav,0.244679362,0.162327647,1697.720795,1781.945637,3296.452531,0.098067195,-95.22619629,129.0534973,-30.70354652,32.44384003,-9.244360924,7.398064613,-4.918753624,1.480745435,-12.1901083,2.277815104,-2.265239716,1.614222407,-7.202292442,-4.863951683,-8.179870605,-1.034257174,-4.570424557,0.883800268,-8.997393608,2.31876874
006.wav,0.268744648,0.077126823,757.2528345,990.2409293,1176.251221,0.050065287,-296.9730835,196.8439636,-3.682442904,18.91614151,7.949299812,3.070261478,0.570239186,1.596813083,-0.847695172,-1.529619932,-3.074361324,-6.885298252,-6.522015095,-0.706896782,-2.914565802,-3.215989351,-0.167752042,5.225703716,4.815034866,3.15450716
007.wav,0.326213539,0.061395578,1111.828737,1372.302962,2014.31782,0.058797415,-276.6648865,153.1818085,-15.92469978,21.91125679,6.131238461,11.91733932,2.792800188,-1.84259069,-4.959245205,-0.121789046,4.539796352,5.569401264,2.442442894,3.927127123,2.728304863,0.216648906,-4.143222332,-5.732384205,-2.084669352,4.963481903
008.wav,0.176891237,0.041598257,1514.322819,1706.846248,2601.863822,0.071492117,-386.940155,82.79615784,-39.64990616,-7.563555241,-27.97525597,-16.39883614,-23.42787743,-18.44045258,-11.67792416,3.584073305,7.255439758,14.62244892,11.52631187,14.94861889,9.281974792,7.750925064,4.36437273,15.50648975,13.52148151,10.64727974
009.wav,0.311267585,0.116721906,1588.507147,1792.481815,3039.586826,0.09017696,-113.0796661,136.7805176,-25.22308159,25.19501495,-1.981135845,5.261026859,-7.35128355,3.559575558,-7.665000439,2.181727409,-6.797299385,-2.89047575,-4.415443897,0.923260808,0.038958173,3.593890429,-4.206884861,3.953121185,-4.418700695,-0.911270559
010.wav,0.250109524,0.080400944,1625.294996,1652.822592,3000.796285,0.107860286,-167.980011,136.2579498,-39.22156143,32.47525787,-2.705051661,6.542830944,-3.365057945,0.776269555,-7.07615757,1.256178737,-6.40045929,3.783204317,-5.19432497,0.727632701,-0.955184281,2.933693886,-2.501698971,1.011477232,-9.254559517,-1.441959143
011.wav,0.311594993,0.149290174,982.7164964,1325.01312,1781.484073,0.046270941,-168.6452026,174.3601074,-18.97957039,23.24505806,-5.183069706,4.172149181,-1.166705489,-0.712896287,-7.564329624,-5.629593849,-8.119724274,-3.283338308,-5.750915527,-8.547618866,-12.02278423,-6.171065331,-7.124606609,-3.995629549,-13.94050026,-14.06096554
012.wav,0.285758466,0.175691321,829.3626083,1035.919019,1350.022556,0.049616021,-197.0427246,190.2091217,-11.39040279,15.92995739,-2.49091363,-0.000225837,-1.494663358,-3.154239655,-9.914280891,-8.110937119,-7.945996284,-5.148133278,-1.96331358,-0.533634782,-2.339126825,-2.370143652,-3.948754787,-3.346456289,-4.436928272,-2.428491116
013.wav,0.307090074,0.067380168,1431.017518,2019.452708,3102.615308,0.045314656,-271.433197,112.5047302,20.42509079,49.96358109,9.176821709,23.99179649,-5.824043751,-2.220710039,-9.116160393,-2.264170647,-3.666726589,-1.059108377,-4.91712904,3.717024088,-0.452833295,4.357971191,1.170238256,4.035724163,-3.284996033,-4.115163326
014.wav,0.286870122,0.220022559,956.8613746,1358.657499,1542.949442,0.049540258,-144.5227051,173.8739471,1.61732173,21.23869705,-7.256369114,7.486533642,0.195018828,-0.059720024,-6.888451576,-0.787890971,-7.810228825,-2.187402487,-6.53335619,0.842331827,1.798609376,3.312533855,-2.973307848,-0.280701786,-4.865719318,-1.559221387
015.wav,0.33159253,0.080298081,1043.222712,1461.322706,1972.369629,0.045442708,-221.2639771,159.9823914,-9.850152016,38.37575912,5.002372265,8.196052551,-3.692463636,2.279251575,-8.603532791,-0.71712029,-7.903955936,-2.456301212,-6.553030014,-6.656070232,-7.468900204,1.046035647,-2.620764256,0.090851888,-7.214663506,-2.409393311
016.wav,0.193290219,0.043468256,1663.222122,1724.385507,3080.004762,0.076050256,-290.62323,100.5521317,-36.42570496,36.19306183,-3.349425793,-2.69864893,-15.67045307,-6.018203735,-14.62951279,-4.961387634,-9.054520607,3.077465057,6.24097538,10.53793049,4.046975136,6.739575863,10.13699055,21.8551178,10.55179024,3.535712957
017.wav,0.284339458,0.079123527,1249.529819,1471.724313,2430.902004,0.060657255,-201.3967896,154.9972534,-30.53030586,36.13300323,-2.304041147,-0.289129913,-6.946388721,-0.704980433,-6.959059238,1.964494944,-10.57823086,-6.177315235,-7.457373619,-3.911449909,0.437755287,6.810791969,-1.226699829,4.542308331,2.437762737,2.077376366
018.wav,0.274188608,0.108535431,808.5071435,1097.678919,1442.671897,0.036021649,-246.0728302,178.8172302,-12.25812721,23.64190674,2.976869106,-9.161587715,-2.829353809,-10.3813467,-10.64092255,-13.89402103,-15.35013962,-9.585960388,-8.506250381,-8.104071617,-6.258620739,-6.238923073,-4.830560207,-4.465602398,-6.174276352,-5.484036922
019.wav,0.329834044,0.184795395,1537.798797,1694.135555,2978.879714,0.091197621,-81.17108154,139.7881012,-27.85439873,29.29896927,-5.207969189,7.705605507,-8.593948364,3.56972003,-9.104063034,3.126641035,-6.649643898,-1.798972011,-4.670726299,1.599188447,-3.994282246,0.256520778,-6.229664326,0.259791255,-5.944742203,-1.853288412
020.wav,0.237360477,0.109733708,1684.167208,1703.696829,3328.585975,0.094722055,-157.0366364,126.9052277,-36.26356125,36.32841492,-21.14889336,5.163626194,-18.35303497,-4.940725803,-10.80152798,-5.432994366,-9.48058033,1.384208202,-8.975372314,-9.537261009,-8.188139915,-3.085617542,-3.179513931,-4.109197617,-3.449316502,5.553026199
021.wav,0.381802529,0.041716654,1217.595268,1991.811053,2492.523924,0.035048785,-283.0189514,132.2618561,12.94618416,33.96311569,16.06206703,10.7574234,9.78136158,10.05781651,-0.584094346,8.078537941,-3.145010233,2.134043217,-4.135269642,0.596608102,1.674968719,5.302424908,-4.080118656,0.531666517,-2.025979042,6.049922466
022.wav,0.331312686,0.113594413,1496.837157,1768.251111,3048.564602,0.08366693,-129.9287262,142.1564636,-13.6668396,35.71840286,-6.620960236,8.922281265,-7.938677311,-1.860434175,-5.671687603,6.961107731,-6.33667326,-3.325235605,-11.45064545,-4.535340786,-4.480669022,2.613707066,-1.407926798,4.138516426,-1.799198031,-8.314023018
023.wav,0.271722943,0.068268791,1179.314967,1571.560397,2409.497328,0.054326437,-261.0614319,147.3229828,-11.5986948,39.93814468,10.10945606,5.499584675,-0.290432423,4.218437195,0.398891032,2.890461683,-7.04482317,-6.319125652,-5.563583374,-1.27424109,0.551633894,2.504766941,-0.931843758,7.145368099,-0.298666358,-5.939447403
024.wav,0.212646022,0.017282197,1467.490734,1785.899054,2888.700121,0.071676622,-373.6077271,123.1797943,-9.727564812,33.87867737,-6.2754879,4.963298798,-7.024312496,2.709923744,2.180224419,11.20867157,-4.373290062,-1.326752543,-5.316802502,4.582499027,0.131158829,2.05318141,0.222675413,2.971325397,-9.660935402,-13.24433613
025.wav,0.23695679,0.060420539,1528.675893,1714.129086,2859.19131,0.079507381,-231.9318848,127.9895248,-23.85021973,25.86058807,-5.651165962,-3.049635887,-12.56793213,-0.815762937,-7.820012093,-1.202400565,-10.38473892,-1.809556723,-5.397945881,-4.041444302,-6.514636517,2.353309393,-5.553561687,0.850325227,-4.194911957,3.13384676
026.wav,0.207541287,0.099899575,879.5450025,1073.966138,1488.548316,0.047006002,-270.056427,173.9033508,-22.72548676,19.02467537,3.559898138,-14.84920979,-7.793017387,-10.44816113,-10.58696175,-7.727539063,-8.161907196,-7.027401447,-4.84363699,-6.555610657,-7.115793705,-8.793722153,-9.913340569,-8.285141945,-5.162644386,-1.258219957
027.wav,0.33974582,0.047748201,2194.454506,2197.639485,4458.979755,0.123630559,-201.8203888,104.5030975,-18.6169529,41.75531769,0.381255507,13.97683716,-4.380027294,2.842154503,-6.76384306,9.311475754,-1.192550182,2.941728592,-3.901111126,8.65141964,-1.431503057,6.298418522,-3.565489769,-1.550070763,-3.249196291,2.559580803
028.wav,0.296100289,0.069936268,1443.668502,1689.925777,2956.331764,0.079593134,-234.4521942,141.9115448,-12.70494747,38.52749634,-3.251012087,2.67759037,-6.153407097,4.136984825,-8.031238556,-5.970678806,-15.09760094,-4.556776524,-3.409142733,-6.289442062,-10.5261364,-5.322324753,-11.41286469,-9.092179298,-12.55250263,-1.272343993
029.wav,0.216670677,0.021050805,1361.631377,1869.503281,2608.035306,0.048510367,-386.0211792,125.6543121,-0.024007663,6.232574463,-24.22131348,-6.49624157,-19.80965233,-14.95797634,-17.55447006,-10.34710026,-14.37646675,-9.683405876,-13.17593575,-7.396297455,-3.583351135,-2.416860819,-3.505162954,2.390434265,0.810658157,4.963528156
030.wav,0.189990059,0.066085666,1554.406498,1518.025774,2706.335778,0.092227497,-327.0014954,115.4990158,-21.32504082,16.97771263,-7.336003304,-13.17672443,-9.162502289,0.506061912,4.795884609,4.258506775,0.815249383,-0.906723678,-3.5141325,-3.3566432,1.525674582,4.122772217,2.288404226,-1.367499828,-1.159184933,6.939284325
