filename,spectral_centroid,zcr,spec_bw,rolloff,rms,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,octave1,octave2,octave3,octave4,octave5,octave6,octave7,octave8,octave9,octave10,octave11,octave12,mel_based_spectr1,mel_based_spectr2,mel_based_spectr3,mel_based_spectr4,mel_based_spectr5,mel_based_spectr6,mel_based_spectr7,mel_based_spectr8,mel_based_spectr9,mel_based_spectr10,mel_based_spectr11,mel_based_spectr12,mel_based_spectr13,mel_based_spectr14,mel_based_spectr15,mel_based_spectr16,mel_based_spectr17,mel_based_spectr18,mel_based_spectr19,mel_based_spectr20,mel_based_spectr21,mel_based_spectr22,mel_based_spectr23,mel_based_spectr24,mel_based_spectr25,mel_based_spectr26,mel_based_spectr27,mel_based_spectr28,mel_based_spectr29,mel_based_spectr30,mel_based_spectr31,mel_based_spectr32,mel_based_spectr33,mel_based_spectr34,mel_based_spectr35,mel_based_spectr36,mel_based_spectr37,mel_based_spectr38,mel_based_spectr39,mel_based_spectr40,mel_based_spectr41,mel_based_spectr42,mel_based_spectr43,mel_based_spectr44,mel_based_spectr45,mel_based_spectr46,mel_based_spectr47,mel_based_spectr48,mel_based_spectr49,mel_based_spectr50,mel_based_spectr51,mel_based_spectr52,mel_based_spectr53,mel_based_spectr54,mel_based_spectr55,mel_based_spectr56,mel_based_spectr57,mel_based_spectr58,mel_based_spectr59,mel_based_spectr60,mel_based_spectr61,mel_based_spectr62,mel_based_spectr63,mel_based_spectr64,mel_based_spectr65,mel_based_spectr66,mel_based_spectr67,mel_based_spectr68,mel_based_spectr69,mel_based_spectr70,mel_based_spectr71,mel_based_spectr72,mel_based_spectr73,mel_based_spectr74,mel_based_spectr75,mel_based_spectr76,mel_based_spectr77,mel_based_spectr78,mel_based_spectr79,mel_based_spectr80,mel_based_spectr81,mel_based_spectr82,mel_based_spectr83,mel_based_spectr84,mel_based_spectr85,mel_based_spectr86,mel_based_spectr87,mel_based_spectr88,mel_based_spectr89,mel_based_spectr90,mel_based_spectr91,mel_based_spectr92,mel_based_spectr93,mel_based_spectr94,mel_based_spectr95,mel_based_spectr96,mel_based_spectr97,mel_based_spectr98,mel_based_spectr99,mel_based_spectr100,mel_based_spectr101,mel_based_spectr102,mel_based_spectr103,mel_based_spectr104,mel_based_spectr105,mel_based_spectr106,mel_based_spectr107,mel_based_spectr108,mel_based_spectr109,mel_based_spectr110,mel_based_spectr111,mel_based_spectr112,mel_based_spectr113,mel_based_spectr114,mel_based_spectr115,mel_based_spectr116,mel_based_spectr117,mel_based_spectr118,mel_based_spectr119,mel_based_spectr120,mel_based_spectr121,mel_based_spectr122,mel_based_spectr123,mel_based_spectr124,mel_based_spectr125,mel_based_spectr126,mel_based_spectr127,mel_based_spectr128,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6
001.wav,1767.391188,0.109026442,1796.316508,3337.911508,0.089111716,-158.8653107,119.8840637,-34.78178024,35.45355606,-0.471109986,13.61273575,-13.08744717,-2.13043642,-5.9434762,1.290022135,-4.343043804,8.766954422,-2.563502789,2.666115046,-6.926175594,-1.820858955,-3.112479448,-0.409020901,-0.633484721,-3.911717892,-13.16309452,-3.587712526,3.30E+00,7.38E+00,-8.394342422,0.973525226,3.650728226,-1.758026838,-7.11241293,1.429574609,7.670943737,4.171741962,-7.656267166,-0.086556681,2.835896254,4.196702003,0.120974496,-2.290415287,-3.214600086,-0.912232459,0.162231311,0.417984426,0.464916795,0.233779341,0.262350917,0.1676673,0.284744829,0.233318791,0.301000834,0.570943058,0.247071698,0.178181842,0.749425411,10.04940987,23.26103973,18.25306129,6.350852013,3.064798594,7.334755898,8.482027054,5.595869541,4.390120983,5.092094898,3.334638357,1.518829226,1.358495116,2.376988888,3.43634963,12.39221001,4.606642723,2.104192495,1.169510484,3.271253347,5.885194778,8.500731468,1.033960223,3.565921068,4.500753403,0.482478201,3.128237247,9.590488434,2.683507442,2.488401651,1.528574944,0.481184274,1.629844904,0.820430994,0.331902742,0.266113758,0.959566474,0.344819844,0.138615966,0.200289428,1.812442899,2.103145599,1.35144341,4.884982109,1.524246216,1.014193535,0.870409012,2.611237526,1.721159101,0.319865972,0.178179696,1.311963439,1.397783875,0.355353802,0.168527558,0.764626086,2.867227793,2.229819059,8.163942337,1.694934249,0.102971427,0.056363948,0.470316827,0.454500347,0.292358845,0.222394109,2.567467451,4.193360329,0.474980086,0.986138046,0.202054262,0.106257841,0.097057544,0.349474877,0.175820455,0.143372715,0.084298544,0.396845341,0.485782087,0.189855739,0.098890536,0.037845865,0.080840111,0.047855977,0.151075423,0.053187337,0.017927926,0.014862963,0.074878879,0.091134176,0.072177544,0.017029237,0.01558219,0.032671846,0.024601124,0.024642821,0.025552098,0.016604647,0.011770695,0.026244333,0.019566204,0.004382841,0.00342056,0.003994271,0.002497351,0.002401444,0.001850856,0.002781259,0.003108562,0.001774754,0.001991977,0.00192725,0.001453061,0.001661662,0.000988148,0.000722283,0.001079638,0.000685471,0.000567792,0.000787122,0.000472828,0.000335203,0.000418076,0.000325756,0.000186012,7.52E-05,6.30E-06,25.68804866,15.08988719,20.21827077,20.75040441,24.0805486,20.75671859,35.98254057,0.094777453,-0.034718727,-0.072454189,-0.052145689,-0.003127503,0.004247378
002.wav,951.0317525,0.050184746,1262.888093,1744.997418,0.059100147,-272.8207092,179.0838318,-2.032682896,34.02402496,-5.69873476,-4.446648121,-6.850418091,-3.071392536,-6.327946186,-4.911417007,-10.75847912,-1.008948684,-2.981469393,-4.573045254,-1.53276372,0.767514467,-0.841975451,-0.545774579,-4.074145794,-4.539794922,-5.901727676,-0.164578483,-0.78910321,1.489994764,1.875002503,4.608031273,4.209625244,0.506257355,-3.911226511,1.248823166,0.100577205,1.182490468,-0.862029016,-3.889473677,-2.543565989,-3.688809872,4.153022289,2.208696127,-1.348808408,-3.600884199,0.435121745,0.550384104,0.303241074,0.341139019,0.224692836,0.269645125,0.306569159,0.303506523,0.379198641,0.311598927,0.472691715,0.248142898,0.251835048,1.397461772,8.780076027,12.29203415,4.850355148,4.117991924,2.883309841,3.113394499,7.079495907,8.290984154,12.99906349,7.173218727,2.788901329,2.655545235,2.699321985,3.237278223,1.76618886,4.394108772,1.714838386,3.287796259,6.439456463,5.032594681,1.132876039,2.213002443,1.321622729,0.212025106,0.603196502,0.825110614,1.557489991,0.272250593,0.186369702,1.227425694,1.016356349,0.393540204,0.205518857,1.240586042,0.602144778,0.037143193,0.036466029,0.215720296,0.293244481,0.190846667,0.686915338,0.112966314,0.016613295,0.032465912,0.156308979,0.103155881,0.099882208,0.010175075,0.118429638,0.106626198,0.021293484,0.034812585,0.009798956,0.021881772,0.034269005,0.14894253,0.038876045,0.013610745,0.012972969,0.146365032,0.09313862,0.02692426,0.010130315,0.11558108,0.119594291,0.027789,0.043809496,0.051929325,0.083273992,0.010917709,0.033511132,0.018227786,0.00940133,0.004246357,0.017719049,0.018834559,0.009675752,0.004570242,0.003862808,0.003367799,0.009884612,0.014407318,0.003799127,0.001583027,0.003646149,0.010640115,0.007356098,0.002483994,0.000879588,0.002180832,0.003228974,0.00065478,0.000793505,0.001205648,0.000941101,0.002709239,0.002993563,0.000350762,0.00024186,0.000167907,0.000200009,0.000200833,0.000175028,0.000116192,0.00016981,0.000576504,9.08E-05,8.88E-05,5.02E-05,9.46E-05,5.43E-05,6.50E-05,5.39E-05,6.39E-05,3.38E-05,1.47E-05,1.82E-05,1.14E-05,5.43E-05,9.83E-05,0.000125245,4.85E-06,4.36E-06,3.31E-06,2.89E-06,1.97E-06,17.92250876,14.09049974,20.12037437,22.75311339,22.91553429,22.48199958,34.99380087,-0.167180833,-0.019619565,-0.042212488,-0.033051389,0.026171446,0.017497923
003.wav,1017.52193,0.054158885,1235.523341,1883.629745,0.082614176,-237.1021576,177.4769287,-22.59550476,29.80003357,3.149655342,-0.196095571,-1.22970283,-3.131267071,-1.180362225,1.244644523,-2.955443382,0.452438533,-2.393634319,-3.224524021,-0.161924213,1.955480576,-1.834293962,-3.403426647,-3.191565037,-2.37383008,-0.756987512,0.35750249,2.952116013,4.92370224,5.033719063,0.915764213,-2.349757195,-2.676561117,-0.564941764,-0.52598536,-3.969906807,-5.492403984,-9.818528175,-8.656541824,-4.777118683,-3.578706503,-2.656550407,-1.01141417,1.205084324,-1.867124557,0.406658232,0.23699367,0.439265937,0.260742426,0.199209511,0.450967878,0.25184989,0.273848504,0.155030817,0.195674658,0.298208416,0.217492685,0.306680411,8.098217964,17.89304352,29.55228043,7.886994362,4.750644684,7.994709969,4.837294102,3.79758358,14.3234272,13.01166534,16.5724411,9.428354263,10.08913994,2.42489624,0.954965293,0.604551494,3.918792009,1.927363157,9.742665291,7.570297718,2.032421827,10.1335001,12.73980904,4.97289896,0.582161903,2.842730045,1.149283767,0.369458139,2.897709131,2.758802176,0.40397203,0.252770275,1.445313692,1.607417583,2.336541176,1.111137033,0.167974249,0.304656863,1.400194407,1.443146586,0.808349848,0.520003974,0.76373291,0.782749057,0.358591467,0.218512565,0.112696782,0.204636663,0.248004287,2.467007399,2.468486547,0.392525256,0.259442717,1.796260715,2.411038876,0.611626208,0.057988767,0.023502417,0.04772196,0.08294671,0.166807666,0.0722223,0.020119293,0.031832874,0.232125193,0.227162451,0.06584204,0.034380496,0.026982915,0.084383756,0.023986518,0.017826913,0.019607008,0.033659741,0.020341245,0.010709081,0.013794386,0.009545498,0.006681761,0.007376732,0.015050999,0.010790091,0.004612245,0.008093299,0.00552884,0.00352721,0.004836021,0.004445957,0.00406879,0.001874802,0.001910424,0.002007147,0.001207642,0.001430735,0.000378239,0.000840983,0.00562074,0.006393096,0.000217222,0.000410338,0.000372752,0.000179368,0.000222788,0.000161702,0.000128585,0.000128755,0.000538683,8.20E-05,7.38E-05,6.96E-05,4.92E-05,4.78E-05,3.99E-05,4.53E-05,0.000189486,0.00010153,3.21E-05,2.32E-05,1.41E-05,3.13E-05,5.35E-05,7.03E-05,5.63E-06,6.15E-06,4.45E-06,6.74E-06,4.70E-06,19.22382305,16.71722,20.8529965,20.90979704,19.396622,21.12434996,34.10590777,-0.075516069,0.210729363,0.014964682,-0.161762113,0.009567258,-0.010663294
004.wav,1916.953434,0.109481833,1931.569672,3674.083908,0.069328658,-161.7498322,112.2053299,-34.40170288,14.56139755,-17.82312393,-1.690713167,-15.70361805,-5.864926338,-12.08215141,1.986459136,-6.514546871,3.453017473,-7.514576435,-5.407949924,-9.155155182,1.213468909,-3.501598835,8.029010773,3.449316263,0.321429193,-11.5644207,1.83827579,3.797305822,4.004840374,-1.928423166,1.954322815,-4.626285076,-1.975768089,-7.815572739,4.82544136,4.019479275,-0.35749507,-4.519453526,4.212629795,1.606122732,5.323690891,1.605683446,-0.108484209,-2.797280312,5.377902508,0.136245027,0.266010314,0.554543376,0.291684359,0.441842735,0.346401989,0.430028468,0.352785677,0.28896606,0.44897148,0.284541786,0.212214246,0.270142794,0.2884624,2.072389841,1.796703815,3.400950193,5.794011116,1.631854057,2.244367361,3.66331768,2.426170588,1.917377949,2.927488565,4.143653393,6.206857204,6.695887566,2.880593777,3.565624237,6.451693535,3.187492847,0.968958676,1.726312876,4.392289639,9.041654587,1.49608779,2.606859922,4.800192356,4.774215221,2.864001513,2.869172573,4.45351696,3.185913563,1.235829234,1.505293369,3.944428444,1.434872985,0.558039486,0.416139245,0.909117699,0.624133766,0.318461001,0.270265251,0.637880147,1.305943608,1.944358826,5.650250912,1.114259124,1.097934127,0.524383485,1.517327785,2.407585859,0.919966817,1.231267929,1.950214028,1.811707854,0.28593719,0.459112108,0.157895654,0.625587404,0.318414748,2.726082802,2.503991842,0.33433795,0.093870595,0.289699703,0.192623749,0.186511174,0.211745858,0.278259158,0.443354785,0.36191383,0.859539688,0.212811351,0.112600215,0.067273431,0.158431917,0.08762303,0.112221628,0.071605809,0.249099746,0.19630982,0.072747469,0.044471823,0.06580998,0.120782025,0.066970594,0.228920698,0.116656542,0.089882076,0.026652932,0.047446165,0.051418375,0.078479432,0.026939502,0.040780216,0.044359822,0.025777921,0.040067848,0.019036788,0.011194801,0.012058688,0.024953706,0.017061189,0.007496712,0.005588506,0.02603432,0.029340798,0.004746411,0.005684281,0.008879873,0.014214553,0.004721228,0.007162463,0.005025199,0.007725621,0.003658036,0.002499802,0.004128231,0.00534245,0.002032066,0.001904354,0.002527449,0.001089033,0.001902682,0.001434361,0.000804707,0.000601797,0.000317318,1.35E-05,18.1262127,15.61903603,18.26252966,20.87328932,22.25038898,21.15280481,35.85759132,0.11492622,-0.045850792,-0.018762127,-0.017813439,0.014778033,-0.015998576
005.wav,1697.720795,0.098067195,1781.945637,3296.452531,0.162327647,-95.22619629,129.0534973,-30.70354652,32.44384003,-9.244360924,7.398064613,-4.918753624,1.480745435,-12.1901083,2.277815104,-2.265239716,1.614222407,-7.202292442,-4.863951683,-8.179870605,-1.034257174,-4.570424557,0.883800268,-8.997393608,2.31876874,2.976628304,5.367342949,-1.795318842,1.305082321,-3.541356087,3.944536448,-4.055795193,-1.302304506,-8.903946877,1.727112412,5.067821026,-0.083534218,-13.22768497,-11.08676815,-8.290658951,-1.719828725,-4.829115391,-4.190295219,2.402686357,14.71593571,0.349655151,0.146779582,0.326469243,0.244966209,0.218421325,0.666843235,0.185484827,0.119513862,0.088963695,0.239864558,0.225986451,0.123204224,0.145580068,8.864879608,36.68735123,27.68287849,11.83974361,5.430577278,5.597454071,7.234244823,23.31510544,24.05650902,20.12430191,31.34227562,61.8070488,78.49452972,9.116597176,3.59922123,6.711933136,11.9026804,3.05324173,24.11303711,14.17842007,5.420034409,19.7110157,8.55420208,3.483769655,5.246643543,69.06965637,21.74060822,0.325335443,4.559619904,4.2771945,0.497452915,1.58816123,9.572768211,5.046168804,10.43590832,3.393652439,0.246109843,0.400754422,9.703100204,15.92848015,1.317116141,0.172303841,2.462099552,12.70049858,6.548834324,4.881496429,3.797496319,2.266038656,0.939216554,23.79980469,20.98829651,1.709730387,0.334833831,1.319923162,6.228251934,0.983056128,0.070624545,0.962715387,5.469684124,1.065845609,2.054723501,0.975234151,0.078371324,0.135331377,3.012183666,6.015725613,0.409387231,0.089860409,0.292544097,1.478143096,0.800611436,0.8844648,0.782562673,0.563445568,0.383311093,1.047537804,1.517888188,0.569730937,0.304737657,0.448080868,1.325115085,0.251087636,0.095334023,0.171866298,0.654880404,0.320921898,0.217768133,0.201818481,0.070805371,0.045772228,0.203663319,0.40531826,0.10072276,0.031518906,0.021799602,0.114102088,0.049221471,0.030915663,0.02164695,0.032106608,0.019336781,0.025155781,0.048736855,0.025727846,0.018689778,0.012248863,0.033160657,0.008655264,0.001520964,0.00341834,0.016458085,0.012004077,0.004418109,0.002524031,0.00168068,0.001505053,0.002689974,0.003665861,0.001668995,0.000849375,0.000534536,0.001637808,0.001156857,0.001108145,0.000422774,0.000113253,1.81E-05,22.01065718,19.64265197,22.23488879,24.01117475,24.80659837,23.68844487,38.77473309,0.01883172,0.268070247,-0.17936143,-0.13683651,-0.064121771,0.004745154
006.wav,757.2528345,0.050065287,990.2409293,1176.251221,0.077126823,-296.9730835,196.8439636,-3.682442904,18.91614151,7.949299812,3.070261478,0.570239186,1.596813083,-0.847695172,-1.529619932,-3.074361324,-6.885298252,-6.522015095,-0.706896782,-2.914565802,-3.215989351,-0.167752042,5.225703716,4.815034866,3.15450716,-3.671251535,-7.501318932,-7.721487522,-0.921696365,-0.54640311,-2.549191475,-1.900503635,-1.130793691,3.654765368,8.194738388,-4.232736111,-10.46148968,-0.890823364,7.280575752,6.364579678,0.564047754,-5.540186405,-4.931003571,-0.801661372,1.646009326,0.166049182,0.177939236,0.367429852,0.181416586,0.19057101,0.159604475,0.336296469,0.358870596,0.264949501,0.381504953,0.222325638,0.417978406,0.700431108,5.054813385,7.100226402,14.83064365,7.102922916,3.582577229,2.110633373,4.879703045,7.861266613,8.858498573,4.906682014,4.23617506,7.287442684,10.23812103,18.69160652,8.41984272,5.180737972,1.571142316,8.3245821,2.6676054,1.357285023,2.139065742,5.741083145,0.767021239,1.752849817,2.554105759,0.540340662,0.894728661,2.72006917,1.629576921,2.406947374,0.883866906,1.647042274,5.306376457,4.664889336,0.157533765,0.024093878,2.547754765,8.891985893,1.454119444,0.155397668,0.131205872,0.362931669,0.173798338,4.791754723,2.863362789,0.133143157,0.022361929,0.047522191,0.028770924,0.054219335,0.019076725,0.343109995,0.289423794,0.049223643,0.109813519,0.02430507,0.038059019,0.019645941,0.076998577,0.036217194,0.050545655,0.012562082,0.078872725,0.138407886,0.008327685,0.001524467,0.002696719,0.020126481,0.006161245,0.032127265,0.024430189,0.002619109,0.002879628,0.007185949,0.014802759,0.003812828,0.000657535,0.002669661,0.014636733,0.004166901,0.001409524,0.000634739,0.000450308,0.000161975,0.00102231,0.002989099,0.000337062,0.000259864,0.000240912,0.000437077,0.000139476,0.000113335,0.000122905,0.000224614,6.76E-05,0.000165367,0.000144575,0.000128922,7.53E-05,5.91E-05,4.10E-05,3.78E-05,2.72E-05,3.17E-05,7.78E-05,2.74E-05,3.19E-05,2.21E-05,1.83E-05,1.76E-05,2.87E-05,1.84E-05,1.31E-05,1.02E-05,1.16E-05,1.35E-05,1.12E-05,1.26E-05,9.37E-06,1.32E-05,8.23E-06,6.50E-06,7.76E-06,9.11E-06,7.25E-06,2.39E-06,2.71E-07,19.12711578,20.43144298,25.69144702,28.36144713,25.19182983,20.15988871,31.32778774,0.251044637,-0.033159112,0.034799333,-0.073553286,-0.026601301,-0.011888014
007.wav,1111.828737,0.058797415,1372.302962,2014.31782,0.061395578,-276.6648865,153.1818085,-15.92469978,21.91125679,6.131238461,11.91733932,2.792800188,-1.84259069,-4.959245205,-0.121789046,4.539796352,5.569401264,2.442442894,3.927127123,2.728304863,0.216648906,-4.143222332,-5.732384205,-2.084669352,4.963481903,1.452568889,-5.993085861,-8.236083984,-4.039945126,-0.137439132,-1.316957355,-2.556272745,0.706915379,-6.463380814,-4.6528759,1.46731019,-2.27507925,-7.326991558,-6.986996174,-6.72439146,-6.744894981,-5.02204895,-4.308802128,-4.998950005,-2.172663212,0.375182867,0.193194225,0.301884741,0.272820711,0.41128388,0.609125555,0.390781045,0.392522216,0.254350454,0.26953879,0.229612425,0.214265361,0.040258743,1.594498038,52.80747223,42.91940689,3.924828529,1.038331389,1.065290689,0.538751245,0.854870141,1.085451603,0.710557461,0.595187843,0.657938004,0.557178497,1.319710732,0.936422229,1.164961338,1.336080313,1.153239965,1.220658422,1.09875071,0.203189105,0.822510004,0.801561296,0.3010979,0.325497717,1.675041437,1.169198871,0.107807718,0.279268801,0.728479981,0.077796556,0.063299641,0.238002434,0.329467863,0.188304245,0.470518172,0.104108498,0.120307371,0.807678878,4.256461143,1.228464007,0.054561123,0.066262305,0.770907104,0.582338929,0.123051412,0.190189496,0.170393959,0.449719727,1.159403563,5.268918991,1.748958349,0.102708958,0.076674245,1.532873511,0.404465854,0.016670417,0.014183175,0.144431546,0.074792288,0.029916331,0.065736659,0.037075263,0.060613997,0.026706891,0.370592982,0.172445431,0.00816865,0.006638058,0.09763819,0.12668997,0.012556199,0.047821075,0.030785488,0.063599616,0.046861749,0.272646338,0.128190115,0.003778424,0.002899698,0.012711705,0.00766288,0.012248845,0.008318452,0.004368233,0.003214715,0.004833557,0.002651935,0.001425322,0.001175213,0.001204729,0.005627332,0.009158755,0.002773268,0.001033099,0.001534127,0.001436474,0.000741062,0.000649653,0.000498778,0.000762573,0.000404529,0.002180218,0.001393258,0.00035723,0.000191845,0.000221584,0.000262057,0.000119023,9.10E-05,0.000244969,0.000182383,1.00E-04,0.000103543,9.83E-05,7.61E-05,6.97E-05,0.00011513,0.000151223,2.82E-05,2.33E-05,2.66E-05,3.64E-05,3.09E-05,1.40E-05,3.98E-06,3.11E-07,29.4433787,15.79491216,19.98683656,22.49951606,23.14255024,19.99173158,34.44887083,-0.008268781,0.118151837,-0.154910247,-0.008107386,-0.034445907,-0.009093559
008.wav,1514.322819,0.071492117,1706.846248,2601.863822,0.041598257,-386.940155,82.79615784,-39.64990616,-7.563555241,-27.97525597,-16.39883614,-23.42787743,-18.44045258,-11.67792416,3.584073305,7.255439758,14.62244892,11.52631187,14.94861889,9.281974792,7.750925064,4.36437273,15.50648975,13.52148151,10.64727974,1.947904706,-0.993582368,4.058499336,13.80647755,10.23229122,4.803684235,0.287145376,4.268149376,2.610024929,-1.51298666,-8.530622482,2.689846516,9.260325432,12.26400375,4.438559055,4.789247036,5.773982048,7.54474926,4.795873165,2.418171883,0.37344712,0.133933783,0.241819844,0.10452988,0.249597207,0.113351665,0.143010274,0.429034323,0.099287286,0.061688934,0.038993064,0.134001523,0.044686966,0.004393307,0.000245547,6.60E-05,5.35E-05,8.66E-05,8.33E-05,0.000147001,0.000853342,0.040240049,0.018271426,0.013765403,0.080906086,0.113242798,4.156064034,1.853820086,0.349060267,0.109582752,0.552839994,10.4287529,7.704173565,0.953476071,5.270059586,0.447882295,3.123505592,10.8806963,1.426098704,0.320438296,0.018300056,10.18339539,9.018886566,0.017428672,0.010215304,0.046974082,0.023480883,0.006982222,0.003989992,0.016790297,0.021661274,0.150149599,0.24160701,0.011197309,0.003957938,0.065031402,0.565441906,0.133629516,0.002261038,0.005839779,0.157425582,0.081780598,0.013261885,0.012289332,0.042733114,0.04032534,0.151439518,0.667579472,0.030084742,0.002520073,0.003268922,0.045830585,0.021676179,0.002978137,0.000974765,0.016240537,0.021098066,0.003183157,0.007500561,0.001539602,0.001929014,0.00316802,0.048459362,0.005523387,0.00082984,0.000917028,0.014663775,0.00421833,0.001748053,0.001621417,0.00218656,0.001889801,0.001182663,0.004350947,0.000767573,0.001989972,0.00054208,0.001205258,0.001810392,0.005950684,0.000168711,0.002317572,0.001425458,0.000967295,0.001573985,0.000273773,0.00031565,0.000383377,0.001081921,0.000267765,0.000166706,0.000161232,0.000624224,0.000507915,0.000114019,0.000189123,0.000302243,0.000157529,8.30E-05,0.000207195,0.000103568,0.000108566,6.48E-05,5.25E-05,6.70E-05,7.63E-05,9.85E-05,9.90E-05,4.81E-05,4.31E-05,4.29E-05,2.27E-05,3.30E-05,2.49E-05,3.36E-05,1.74E-05,2.45E-05,1.10E-05,4.56E-06,8.59E-07,22.51324632,25.07592199,30.65717987,24.91215272,24.60377021,21.95356424,33.81123171,0.300457366,0.368469146,0.205858863,0.178899378,0.080311149,-0.008097714
009.wav,1588.507147,0.09017696,1792.481815,3039.586826,0.116721906,-113.0796661,136.7805176,-25.22308159,25.19501495,-1.981135845,5.261026859,-7.35128355,3.559575558,-7.665000439,2.181727409,-6.797299385,-2.89047575,-4.415443897,0.923260808,0.038958173,3.593890429,-4.206884861,3.953121185,-4.418700695,-0.911270559,-5.873022079,2.696642399,-4.409709454,-0.788370132,-2.859305859,2.655103207,-4.638255596,1.670145869,-1.069596529,-3.595749378,-6.399209023,8.27290535,2.173370361,0.161941573,-2.877090931,-0.454466939,-5.455613613,-2.055918694,-0.789266407,5.108337402,0.424542844,0.216258749,0.166224808,0.411577106,0.215181842,0.397696674,0.160296947,0.299191117,0.541469693,0.256579578,0.422867328,0.22332415,2.009495258,14.60856342,26.89275742,9.500699043,11.73503113,7.840704918,9.74687767,20.63121986,10.15315914,8.664707184,7.429877758,15.42424297,16.64188576,17.06878853,9.715907097,20.04179955,7.16695118,15.67434883,4.56137991,16.09331894,11.58687019,1.927342415,1.62112546,7.217713356,3.117151976,1.140985012,11.29088879,4.266313076,0.345000833,2.427308321,2.234544039,13.09714603,8.137537956,0.619676352,1.732906818,12.2979784,6.945353031,0.782271445,0.530023873,6.737160683,7.423073292,1.389404893,0.561310649,0.389994144,0.585815847,0.732221305,6.656781673,2.807683468,0.242578745,0.402232081,4.360461235,4.85726738,0.330341816,0.196480975,0.695847571,1.024972796,0.595090985,3.049918652,1.830265045,0.360103726,0.208658159,2.801071644,3.305585861,0.253786892,0.114107005,1.062575817,2.30129528,0.401995569,0.118090369,0.101516165,0.182655871,0.241525561,1.818309546,1.098207951,0.253455579,0.072077289,0.424824238,0.488167077,0.082865804,0.040106509,0.145107418,0.340582132,0.135518998,0.313970923,0.100073114,0.049836736,0.037049908,0.220234722,0.204712376,0.025204634,0.01609147,0.083516136,0.115801431,0.021768691,0.010901943,0.021231188,0.042274922,0.009775253,0.026651872,0.023741014,0.017648129,0.011507179,0.015033324,0.025760675,0.017677292,0.010090064,0.006635773,0.013593933,0.012553453,0.014716771,0.005629564,0.002961463,0.002772397,0.006649875,0.005813108,0.001148698,0.001119974,0.003500317,0.006703271,0.00115094,0.000917515,0.002157416,0.003221725,0.000769219,0.000810285,0.000905531,0.000451853,1.73E-05,18.66238744,14.57584316,19.26473914,20.95430136,22.05381184,22.1173417,35.26177827,-0.17355997,0.157839089,-0.036801045,0.144329157,-0.014745807,0.019016315
010.wav,1625.294996,0.107860286,1652.822592,3000.796285,0.080400944,-167.980011,136.2579498,-39.22156143,32.47525787,-2.705051661,6.542830944,-3.365057945,0.776269555,-7.07615757,1.256178737,-6.40045929,3.783204317,-5.19432497,0.727632701,-0.955184281,2.933693886,-2.501698971,1.011477232,-9.254559517,-1.441959143,-3.968795061,-2.533564806,-4.936436176,-0.137881204,-5.808020592,0.750333786,-3.215259075,-1.158905983,-10.9044857,-0.675763965,3.209336519,0.913124084,-7.770036697,-3.324312449,-5.84258461,-0.14964667,-2.631756306,1.575581074,-6.115472317,-0.057166494,0.235183999,0.318748653,0.183497876,0.261466473,0.172317415,0.436438918,0.197353914,0.195292845,0.262153208,0.225456372,0.379591554,0.133813024,0.079251029,2.952211618,6.786052227,14.30686951,7.50753355,3.29907608,5.478612423,4.571862221,2.643935204,1.669145107,2.498486519,2.394965649,2.435625076,3.393367052,1.981503606,5.45248127,4.451937675,7.989942074,2.252006292,2.535031319,5.185233116,6.21318388,2.819088697,2.908930779,1.393041611,0.357669115,2.245968342,1.193853617,0.409603387,0.578891635,0.830334544,2.526827574,2.139995575,0.976145327,0.749661446,5.567452908,4.613097191,0.197838992,0.071304403,0.731588483,1.54948163,0.813234448,4.006563663,1.149806499,0.703014493,0.232084692,3.1410501,4.32278204,0.70189321,0.23378177,3.562707663,9.280771255,0.972052991,0.13143909,0.13583377,0.482695699,0.532431424,1.262898684,0.378927231,0.391243726,0.199895144,1.543616891,1.67413187,0.102659971,0.040622231,0.375026643,0.770724058,0.325049877,1.707027912,0.467726231,0.22199522,0.060218789,0.386158884,0.433541179,0.042578194,0.026370287,0.608895957,2.255535126,0.118830055,0.025884373,0.030512633,0.11004442,0.058319613,0.082844138,0.030903317,0.038242579,0.014954721,0.081905827,0.120547853,0.018240863,0.008524006,0.040514655,0.093413047,0.016359106,0.020573288,0.010046265,0.027849581,0.005464043,0.011024814,0.01066906,0.001692652,0.001761102,0.005395261,0.017058501,0.002188733,0.001302118,0.003451778,0.002373914,0.003584923,0.005813775,0.00095098,0.001050817,0.001079047,0.001779175,0.002561838,0.000791,0.000329562,0.000431069,0.002494965,0.00046213,0.000422259,0.000222007,0.001244585,0.000298,0.000271967,0.000364026,0.000126791,3.34E-06,22.970392,16.31936387,21.78486552,23.74552319,24.23878431,23.88398036,37.00236704,-0.172343307,0.104066896,-0.073605775,0.004445656,0.001103524,0.002300469
